Name,Description,r-testis
ENSG00000226553.1,AC018735.1,1
ENSG00000223824.1,AC019178.3,1
ENSG00000236634.1,AC016903.1,1
ENSG00000215034.4,DSTNP4,1
ENSG00000236980.9,C3orf84,1
ENSG00000271266.1,LAPTM4BP2,1
ENSG00000242145.1,RP11-520D19.1,1
ENSG00000242705.1,ICE2P2,1
ENSG00000243483.1,RP11-572M11.2,1
ENSG00000242613.1,RP11-174O3.4,1
ENSG00000213264.3,NIP7P2,1
ENSG00000248374.1,RP11-501M7.1,1
ENSG00000205412.5,HNRNPA1P20,1
ENSG00000243314.1,RP11-538P18.1,1
ENSG00000239516.1,FLYWCH1P1,1
ENSG00000242012.1,RP11-338L18.1,1
ENSG00000207009.1,Y_RNA,1
ENSG00000248262.1,RP11-1J7.1,1
ENSG00000249699.1,RP11-415C15.2,1
ENSG00000250340.1,RP11-577G20.1,1
ENSG00000234124.6,CSN1S2AP,1
ENSG00000214904.5,DUTP8,1
ENSG00000228489.1,RPL21P50,1
ENSG00000249847.1,RP11-192C21.2,1
ENSG00000250034.1,RP11-793B23.1,1
ENSG00000248335.1,RP11-102N12.2,1
ENSG00000280284.1,RP11-154F14.3,1
ENSG00000251445.1,RP11-483A20.3,1
ENSG00000249297.1,LINC02174,1
ENSG00000251506.1,CTD-2247C11.2,1
ENSG00000250814.1,RP11-447B18.1,1
ENSG00000248145.1,CTC-305H11.1,1
ENSG00000270495.1,CTD-2134P3.2,1
ENSG00000249748.1,RP11-79C6.3,1
ENSG00000250585.2,LINC00604,1
ENSG00000248148.1,RP11-357F12.1,1
ENSG00000250827.1,MFSD4BP1,1
ENSG00000250313.2,RP11-5P22.3,1
ENSG00000249835.2,VCAN-AS1,1
ENSG00000248363.5,CTC-261N6.1,1
ENSG00000250955.1,AC008592.7,1
ENSG00000273957.1,RP11-346J10.3,1
ENSG00000214794.4,KRT18P42,1
ENSG00000249128.1,LINC02215,1
ENSG00000270892.1,AC006077.4,1
ENSG00000277866.1,CTC-311G1.2,1
ENSG00000253331.1,CTC-207P7.1,1
ENSG00000249722.1,CTC-430J12.2,1
ENSG00000250801.1,RP11-91H12.3,1
ENSG00000248761.1,CTD-2593A12.2,1
ENSG00000203498.2,RP11-556O15.1,1
ENSG00000218359.1,SUMO2P13,1
ENSG00000224707.1,E2F3-IT1,1
ENSG00000217805.2,RP11-191A15.2,1
ENSG00000224582.5,LINC01015,1
ENSG00000223702.1,ZDHHC20P2,1
ENSG00000275716.1,RP3-344J20.3,1
ENSG00000230248.1,RP1-128O3.4,1
ENSG00000227072.1,RP3-466I7.1,1
ENSG00000216519.2,RP3-406A7.1,1
ENSG00000225148.1,RP5-899B16.2,1
ENSG00000179460.5,EEF1A1P27,1
ENSG00000231525.1,AC002486.2,1
ENSG00000232790.2,LINC01162,1
ENSG00000231418.1,AC006380.3,1
ENSG00000228015.1,AC074338.5,1
ENSG00000224946.1,AC007312.3,1
ENSG00000228596.1,AC013436.6,1
ENSG00000234105.1,GS1-278J22.1,1
ENSG00000227499.1,RP11-419M24.4,1
ENSG00000225488.1,RP11-760D2.1,1
ENSG00000227015.1,RP11-548K12.6,1
ENSG00000271696.1,RP11-548K12.13,1
ENSG00000226075.2,PHKG1P1,1
ENSG00000230386.4,RP13-157F18.2,1
ENSG00000214684.2,AC003045.1,1
ENSG00000236340.5,AC000099.1,1
ENSG00000214035.3,AC073310.4,1
ENSG00000229365.3,RP4-639J15.2,1
ENSG00000273876.1,RP11-221H10.2,1
ENSG00000253887.1,RP11-10A14.7,1
ENSG00000253108.1,RP1-84O15.2,1
ENSG00000215264.4,RPL10AP3,1
ENSG00000253418.1,SNX18P27,1
ENSG00000253544.1,C1GALT1P3,1
ENSG00000257962.1,RP11-219B4.6,1
ENSG00000207215.2,U3,1
ENSG00000254063.2,DUXAP2,1
ENSG00000253103.1,LINC01609,1
ENSG00000254124.1,EEF1A1P37,1
ENSG00000248478.2,RP11-3G20.2,1
ENSG00000253728.5,RP11-706C16.5,1
ENSG00000232749.2,RP11-15B24.4,1
ENSG00000276478.1,RP11-65B23.5,1
ENSG00000277357.1,NPAP1P7,1
ENSG00000213558.3,HMGN2P32,1
ENSG00000274510.1,Metazoa_SRP,1
ENSG00000223987.1,RPL26P28,1
ENSG00000233318.2,RPL31P45,1
ENSG00000151033.8,LYZL2,1
ENSG00000226412.1,RP11-476F14.1,1
ENSG00000225355.1,ARL6IP1P2,1
ENSG00000226447.1,RP11-393J16.4,1
ENSG00000213657.3,RPL31P44,1
ENSG00000270754.1,NEK4P3,1
ENSG00000235524.1,MTCO1P23,1
ENSG00000231152.1,MTND2P15,1
ENSG00000213449.2,GAPDHP28,1
ENSG00000235746.1,CTBP2P2,1
ENSG00000213543.2,RARRES2P2,1
ENSG00000255167.1,RP11-670N15.1,1
ENSG00000255323.5,LINC01495,1
ENSG00000255060.1,RP11-219O3.2,1
ENSG00000255279.1,RP11-375D13.4,1
ENSG00000271028.1,RP11-111A24.2,1
ENSG00000205044.4,RP11-56P9.11,1
ENSG00000225581.3,TRIM53AP,1
ENSG00000226645.1,AP006216.10,1
ENSG00000200197.1,RNU1-21P,1
ENSG00000181214.7,OR8G2P,1
ENSG00000229386.2,OR8B9P,1
ENSG00000254646.1,OR8B10P,1
ENSG00000257105.1,RP11-259O18.4,1
ENSG00000256896.1,PSMC1P8,1
ENSG00000197503.4,LINC00477,1
ENSG00000256504.2,RP11-1060J15.7,1
ENSG00000257586.1,RP11-554L12.3,1
ENSG00000258051.1,RP11-474C8.3,1
ENSG00000241423.2,RPL21P103,1
ENSG00000258294.5,RP11-314D7.1,1
ENSG00000188646.6,RP11-361A23.2,1
ENSG00000257787.1,RP11-20L19.1,1
ENSG00000257129.1,RP11-554D14.1,1
ENSG00000258254.1,RP11-162N7.1,1
ENSG00000226250.1,LINC00408,1
ENSG00000231358.2,RP11-442J17.3,1
ENSG00000229147.1,SMPD4P2,1
ENSG00000225316.1,LINC00350,1
ENSG00000224405.1,LINC00572,1
ENSG00000236608.1,EIF4A1P6,1
ENSG00000237378.2,RP11-473M10.3,1
ENSG00000271395.1,RP11-75N6.3,1
ENSG00000234267.2,TULP3P1,1
ENSG00000196832.3,OR11G2,1
ENSG00000255664.1,ARL6IP1P1,1
ENSG00000258737.2,SUB1P2,1
ENSG00000258600.1,RP11-452D21.2,1
ENSG00000230997.5,RAB42P1,1
ENSG00000278522.4,POTEB3,1
ENSG00000259300.2,TUBBP8,1
ENSG00000259639.5,RP11-184D12.1,1
ENSG00000259742.1,CTD-2014N11.1,1
ENSG00000259304.1,CTD-2014N11.3,1
ENSG00000259360.1,RP11-142J21.1,1
ENSG00000259180.1,RP11-420M1.2,1
ENSG00000214702.6,RP11-247C2.1,1
ENSG00000263279.1,RP11-109M19.1,1
ENSG00000261904.1,MTND5P33,1
ENSG00000212228.1,SNORA48,1
ENSG00000261293.1,RP11-276H1.2,1
ENSG00000260809.1,VPS35P1,1
ENSG00000260724.1,VN1R69P,1
ENSG00000260812.1,RARRES2P7,1
ENSG00000261017.1,RP11-3M1.3,1
ENSG00000240863.3,RN7SL645P,1
ENSG00000261014.1,LINC02165,1
ENSG00000199263.1,Y_RNA,1
ENSG00000260687.1,RP11-44L9.2,1
ENSG00000279040.1,RP11-667K14.13,1
ENSG00000262628.1,OR1D5,1
ENSG00000264892.1,NOS2P4,1
ENSG00000230273.1,AC087163.3,1
ENSG00000263567.1,RP11-805L22.3,1
ENSG00000265046.1,CTC-542B22.1,1
ENSG00000280349.1,RP11-40A13.2,1
ENSG00000278097.1,AC131056.5,1
ENSG00000274933.5,TBC1D3I,1
ENSG00000262079.1,RP11-515O17.3,1
ENSG00000266100.1,RP11-118E18.2,1
ENSG00000272400.1,RP11-927P21.7,1
ENSG00000277784.1,MIR6786,1
ENSG00000264876.1,RP11-138E9.2,1
ENSG00000266693.1,OR4K8P,1
ENSG00000274930.1,RP11-1030E3.2,1
ENSG00000267172.1,RP11-397A16.3,1
ENSG00000264699.1,LINC01912,1
ENSG00000260569.2,RP11-669I1.1,1
ENSG00000220949.2,CTC-499B15.1,1
ENSG00000167459.16,LINC00905,1
ENSG00000269188.1,CTB-60E11.12,1
ENSG00000267631.4,CGB1,1
ENSG00000231071.1,RP5-1068H6.1,1
ENSG00000283123.1,RARRES2P11,1
ENSG00000233146.1,BPIFB5P,1
ENSG00000231470.1,HMGB3P2,1
ENSG00000225657.2,LINC01716,1
ENSG00000279321.1,RP11-555K2.4,1
ENSG00000278678.1,CYCSP41,1
ENSG00000224309.7,ANKRD30BP2,1
ENSG00000228184.1,SNX19P1,1
ENSG00000278381.1,AL050303.11,1
ENSG00000233442.2,PPP6R2P1,1
ENSG00000279648.1,AP000432.3,1
ENSG00000226818.1,SLC6A6P1,1
ENSG00000231300.1,EZH2P1,1
ENSG00000223608.1,DSCR4-IT1,1
ENSG00000278667.1,LL22NC03-48A11.14,1
ENSG00000237472.1,AP000361.2,1
ENSG00000234735.1,AL022237.3,1
ENSG00000223142.1,RN7SKP252,1
ENSG00000282299.1,RP11-126O22.6,1
ENSG00000189023.10,MAGEB16,1
ENSG00000227302.1,SSXP9,1
ENSG00000229594.1,RP11-167P23.4,1
ENSG00000234442.4,RP11-402P6.12,1
ENSG00000153779.10,TGIF2LX,1
ENSG00000224539.1,SAGE4P,1
ENSG00000203923.4,SPANXN1,1
ENSG00000235991.4,RP11-143H17.1,1
ENSG00000232419.1,TTTY19,1
ENSG00000233803.9,TSPY4,1
ENSG00000225560.6,FAM197Y8,1
ENSG00000229549.9,TSPY8,1
ENSG00000228927.10,TSPY3,1
ENSG00000258992.6,TSPY1,1
ENSG00000258991.1,DUX4L19,1
ENSG00000226941.8,RBMY1J,1
ENSG00000233619.1,AC006328.9,1
ENSG00000223972.5,DDX11L1,1
ENSG00000231630.1,RP11-740P5.3,1
ENSG00000231510.1,RP11-542C10.1,1
ENSG00000237728.2,RP3-453P22.2,1
ENSG00000279169.2,PRAMEF13,1
ENSG00000250894.1,PRAMEF31P,1
ENSG00000204480.7,PRAMEF19,1
ENSG00000204479.4,PRAMEF17,1
ENSG00000204478.9,PRAMEF20,1
ENSG00000253085.1,SCARNA11,1
ENSG00000226487.1,RP4-749H3.2,1
ENSG00000235432.1,RP5-930J4.5,1
ENSG00000235112.1,HSPE1P27,1
ENSG00000236009.1,RP11-293F5.1,1
ENSG00000240553.1,RP1-184J9.2,1
ENSG00000229239.2,RP11-223J15.2,1
ENSG00000231163.5,CSMD2-AS1,1
ENSG00000228348.1,EFCAB14P1,1
ENSG00000237478.2,RP5-926E3.1,1
ENSG00000233407.1,RP11-567C20.3,1
ENSG00000226759.7,DAB1-AS1,1
ENSG00000227485.1,RP11-5P4.2,1
ENSG00000227466.1,RP11-397C12.1,1
ENSG00000235446.1,RP11-74K19.1,1
ENSG00000228187.1,RP11-363H12.1,1
ENSG00000232676.1,ADH5P2,1
ENSG00000231349.2,RP11-444C12.1,1
ENSG00000229201.1,RP5-827O9.1,1
ENSG00000230864.1,RP5-936J12.1,1
ENSG00000228347.1,FTLP17,1
ENSG00000233047.6,LINC01677,1
ENSG00000232971.2,RP11-293A10.3,1
ENSG00000282887.2,RP11-470L19.6,1
ENSG00000226446.1,NOTCH2P1,1
ENSG00000226653.2,OR13Z1P,1
ENSG00000272480.1,OR13Z3P,1
ENSG00000183586.8,HMGN3P1,1
ENSG00000231837.2,RPS7P2,1
ENSG00000228239.1,RP11-85G21.1,1
ENSG00000224985.1,RP11-297K8.2,1
ENSG00000227818.1,RP11-227F8.2,1
ENSG00000225122.1,RP11-408E1.1,1
ENSG00000232148.1,FMO11P,1
ENSG00000253060.1,SCARNA20,1
ENSG00000279061.1,RP3-332O11.2,1
ENSG00000232309.1,GS1-122H1.1,1
ENSG00000227554.1,RP11-444D13.1,1
ENSG00000233882.2,LINC01680,1
ENSG00000232812.1,LINC01717,1
ENSG00000232100.1,LINC01653,1
ENSG00000226927.1,RP11-302I18.3,1
ENSG00000231529.1,RP11-410C4.4,1
ENSG00000227585.2,RP11-103C3.2,1
ENSG00000252484.1,RN7SKP49,1
ENSG00000271399.1,RP4-799G3.2,1
ENSG00000225984.1,HMGB1P26,1
ENSG00000235817.2,RP11-543E8.2,1
ENSG00000230404.1,RP5-855F14.2,1
ENSG00000116996.9,ZP4,1
ENSG00000252371.1,RNU6-725P,1
ENSG00000196289.7,BECN2,1
ENSG00000240963.1,RP11-518L10.5,1
ENSG00000228982.1,RP11-107G24.3,1
ENSG00000203664.6,OR2W5,1
ENSG00000177489.1,OR2G2,1
ENSG00000177476.3,OR2G3,1
ENSG00000239395.1,RP11-634B7.5,1
ENSG00000187701.3,OR2T27,1
ENSG00000237401.6,LINC01304,1
ENSG00000213774.3,AC010904.1,1
ENSG00000236162.1,AC092687.3,1
ENSG00000276411.1,RP11-494G9.1,1
ENSG00000224194.1,AC008278.3,1
ENSG00000236436.1,AC012361.1,1
ENSG00000223691.1,AC068044.1,1
ENSG00000233587.1,LINC01884,1
ENSG00000234579.1,AC009305.1,1
ENSG00000238038.1,ATP6V0E1P3,1
ENSG00000226785.1,AC073218.1,1
ENSG00000253515.1,RP11-417F21.2,1
ENSG00000275423.1,RP11-429P7.1,1
ENSG00000226366.1,AC097463.1,1
ENSG00000225444.1,LINC01867,1
ENSG00000204993.3,AC139712.2,1
ENSG00000233083.1,FTH1P6,1
ENSG00000237024.1,RPL21P33,1
ENSG00000232688.1,LINC01628,1
ENSG00000234877.2,AC092660.1,1
ENSG00000234429.1,AC105342.1,1
ENSG00000227789.1,MTCYBP7,1
ENSG00000232548.1,LINC01809,1
ENSG00000230299.1,AC093162.3,1
ENSG00000232508.1,MRPL45P1,1
ENSG00000234837.1,AC073464.6,1
ENSG00000236847.1,AC018892.3,1
ENSG00000232597.5,AC013727.1,1
ENSG00000234162.1,AC009505.4,1
ENSG00000230353.5,AC114755.2,1
ENSG00000235486.1,AC114755.7,1
ENSG00000232991.5,GACAT1,1
ENSG00000235325.1,AC009963.6,1
ENSG00000230603.1,AC011753.6,1
ENSG00000272895.1,RP11-98C1.2,1
ENSG00000232140.1,AC073257.1,1
ENSG00000232740.1,LINC01826,1
ENSG00000226708.1,AC073409.1,1
ENSG00000248313.1,CYP4F27P,1
ENSG00000271435.1,RP11-803A13.1,1
ENSG00000184761.7,AC013269.5,1
ENSG00000225448.1,AC009477.7,1
ENSG00000276460.1,RP11-109E12.4,1
ENSG00000233786.1,CDC27P1,1
ENSG00000230803.1,AC097532.2,1
ENSG00000234060.1,EDDM3CP,1
ENSG00000223911.1,AC009480.3,1
ENSG00000231420.1,LINC01817,1
ENSG00000226213.1,UBQLN4P2,1
ENSG00000224612.1,AC011901.2,1
ENSG00000228837.2,CBX3P6,1
ENSG00000230991.1,AC092625.1,1
ENSG00000235995.1,UBE2V1P6,1
ENSG00000235047.1,AC016751.3,1
ENSG00000229779.1,AC016751.2,1
ENSG00000237964.3,AC068042.1,1
ENSG00000226681.1,AC020595.1,1
ENSG00000224643.5,AC064871.3,1
ENSG00000260142.1,RP11-764E7.1,1
ENSG00000236695.1,HNRNPA1P47,1
ENSG00000227736.1,MTCO3P16,1
ENSG00000227841.1,MTND5P31,1
ENSG00000234938.2,AC012668.1,1
ENSG00000222714.1,RN7SKP38,1
ENSG00000230047.1,AC017104.4,1
ENSG00000261298.1,RP11-309M7.1,1
ENSG00000224252.1,AC113618.2,1
ENSG00000227459.1,AC079612.2,1
ENSG00000221961.3,PRR21,1
ENSG00000213048.3,OR5S1P,1
ENSG00000269391.1,RP11-194G10.3,1
ENSG00000233570.1,LINC00690,1
ENSG00000224039.1,CDYLP1,1
ENSG00000237603.1,HMGB3P12,1
ENSG00000229243.1,LINC01981,1
ENSG00000230123.1,DLEC1P1,1
ENSG00000231243.1,RP11-134J21.1,1
ENSG00000239128.1,SNORD13P3,1
ENSG00000184345.4,IQCF2,1
ENSG00000241789.3,RN7SL504P,1
ENSG00000235455.1,IQCF5-AS1,1
ENSG00000240777.2,RP11-58O15.1,1
ENSG00000240198.5,ARHGEF3-AS1,1
ENSG00000241667.1,RP11-444P10.1,1
ENSG00000260670.1,RP11-447M4.1,1
ENSG00000276890.1,Metazoa_SRP,1
ENSG00000242339.1,LINC02025,1
ENSG00000239767.1,RP11-789F5.1,1
ENSG00000240902.1,APOOP2,1
ENSG00000183185.9,GABRR3,1
ENSG00000249975.1,OR5H3P,1
ENSG00000239311.1,RP11-615J4.3,1
ENSG00000244157.1,EIF4E2P2,1
ENSG00000243593.1,LINC02049,1
ENSG00000198284.9,NUP210P1,1
ENSG00000239620.1,RP11-88I21.1,1
ENSG00000251178.1,OR7E21P,1
ENSG00000244740.1,RP11-463H24.1,1
ENSG00000243886.1,RP11-575C1.1,1
ENSG00000184814.5,PRR23B,1
ENSG00000241899.1,TPT1P3,1
ENSG00000241457.1,PLSCR5-AS1,1
ENSG00000243347.1,LINC02045,1
ENSG00000240477.1,RP11-63E16.1,1
ENSG00000243861.1,RP11-656A15.1,1
ENSG00000240354.1,RP11-774I5.1,1
ENSG00000240792.1,RP11-418B12.1,1
ENSG00000230497.2,EEF1B2P8,1
ENSG00000228308.1,LINC01209,1
ENSG00000234238.1,RP11-430L16.1,1
ENSG00000232353.5,RP11-655G22.1,1
ENSG00000233987.1,AC106706.1,1
ENSG00000265882.2,RN7SL73P,1
ENSG00000212297.1,RNU6-821P,1
ENSG00000250927.1,MESTP3,1
ENSG00000276507.1,RP11-769N22.2,1
ENSG00000249882.1,RP11-665I14.1,1
ENSG00000247810.6,RP11-103J17.1,1
ENSG00000251501.1,RP11-466J24.1,1
ENSG00000248744.1,RP11-362I1.1,1
ENSG00000232471.3,RP11-241F15.7,1
ENSG00000251630.1,RP11-241F15.9,1
ENSG00000251105.1,RP11-571I18.2,1
ENSG00000250147.1,MORF4L2P1,1
ENSG00000251256.1,RP11-273B19.1,1
ENSG00000248317.1,RP11-463H12.2,1
ENSG00000249382.2,RP11-340A13.1,1
ENSG00000248336.1,HMGN1P11,1
ENSG00000231442.3,LARP1BP1,1
ENSG00000251527.1,RP11-51P8.1,1
ENSG00000250532.1,RP11-727M10.1,1
ENSG00000229717.2,RP11-556N4.1,1
ENSG00000236530.2,KPNA2P1,1
ENSG00000199530.1,Y_RNA,1
ENSG00000241853.1,RP11-147K6.1,1
ENSG00000248627.1,RP11-428L21.1,1
ENSG00000250908.1,RP11-703C10.1,1
ENSG00000248510.2,RP11-145G20.1,1
ENSG00000236764.4,COX7A2P2,1
ENSG00000249764.1,RP11-1299A16.1,1
ENSG00000249681.2,KRT19P3,1
ENSG00000248656.1,RP11-255I10.2,1
ENSG00000248432.1,RP11-269F21.2,1
ENSG00000250363.1,KRT18P21,1
ENSG00000248173.5,RP11-659O3.1,1
ENSG00000250772.5,LINC01365,1
ENSG00000226655.1,AC096732.2,1
ENSG00000250149.1,RP11-399F2.2,1
ENSG00000234125.5,EEF1GP8,1
ENSG00000249463.1,RP11-1E22.1,1
ENSG00000248369.1,RP11-62N21.1,1
ENSG00000261166.1,RP11-775H9.3,1
ENSG00000251567.5,RP11-775H9.2,1
ENSG00000252233.1,RN7SKP253,1
ENSG00000280262.1,RP11-542P2.2,1
ENSG00000250357.1,RP11-503L19.1,1
ENSG00000250609.1,RP11-158C21.2,1
ENSG00000249074.1,NDUFB2P1,1
ENSG00000251283.1,RP11-171N4.2,1
ENSG00000249479.1,RP11-171N4.3,1
ENSG00000278880.1,RP11-612J15.1,1
ENSG00000229226.3,BTF3L4P4,1
ENSG00000251200.1,RP11-6E9.5,1
ENSG00000249411.1,RP11-391J13.1,1
ENSG00000250263.1,RP11-765K14.1,1
ENSG00000251416.1,RP11-140M13.1,1
ENSG00000248816.1,RP11-18D7.3,1
ENSG00000249642.1,RP11-565A3.1,1
ENSG00000241011.1,RP11-713C19.1,1
ENSG00000184108.7,TRIML1,1
ENSG00000248951.2,MTCO2P32,1
ENSG00000248736.1,RP11-35O7.1,1
ENSG00000248973.1,RP11-445O3.2,1
ENSG00000251371.1,CTD-2318H23.1,1
ENSG00000248467.1,CTD-2161F6.1,1
ENSG00000249941.1,CTD-2046I8.1,1
ENSG00000259861.1,CTC-471C19.2,1
ENSG00000248775.1,RP11-404K5.3,1
ENSG00000251678.1,CTD-2296D1.1,1
ENSG00000249782.1,RP11-417J1.1,1
ENSG00000250576.1,CTD-2154B17.1,1
ENSG00000248403.1,NACAP6,1
ENSG00000249199.1,CTD-2139B15.5,1
ENSG00000249156.2,RP11-432M8.9,1
ENSG00000251629.6,RP11-774D14.1,1
ENSG00000253104.1,RP11-855C21.1,1
ENSG00000250694.1,CTD-2074D8.1,1
ENSG00000248490.1,CTD-3007L5.1,1
ENSG00000277878.1,CTD-2269E23.4,1
ENSG00000270430.1,RP11-42L13.3,1
ENSG00000249360.1,CTD-2233C11.3,1
ENSG00000248969.1,CTD-2113L7.1,1
ENSG00000250032.1,CTD-2194L12.3,1
ENSG00000249266.1,MTHFD2P6,1
ENSG00000250418.1,RP11-503D12.1,1
ENSG00000244621.1,RPS17P11,1
ENSG00000249697.1,RP11-155L15.1,1
ENSG00000248733.1,CTD-2176I21.2,1
ENSG00000248199.1,CTD-2244C20.2,1
ENSG00000249981.1,RP11-136K7.1,1
ENSG00000251108.1,YBX1P5,1
ENSG00000251324.1,LINC01386,1
ENSG00000248942.1,LINC01335,1
ENSG00000251078.1,SLC25A5P9,1
ENSG00000164299.6,SPZ1,1
ENSG00000250359.1,PTP4A1P4,1
ENSG00000249515.1,LINC02113,1
ENSG00000250391.1,CTD-2160D9.1,1
ENSG00000250806.2,CTC-293G12.1,1
ENSG00000249017.1,RP11-58B2.1,1
ENSG00000248440.1,RP11-231G15.1,1
ENSG00000251627.1,CTD-2089O24.2,1
ENSG00000253613.2,CTC-551A13.2,1
ENSG00000212122.3,TSSK1B,1
ENSG00000232916.1,HMGN2P27,1
ENSG00000250949.1,RP11-492L8.2,1
ENSG00000181867.2,FTMT,1
ENSG00000279772.1,CTD-2169H9.1,1
ENSG00000248752.1,RP11-114J13.1,1
ENSG00000271128.1,CTB-113I20.1,1
ENSG00000232174.3,CTB-164L20.1,1
ENSG00000279558.1,CH17-140K24.1,1
ENSG00000253538.1,CTB-32P11.1,1
ENSG00000253236.1,LINC02143,1
ENSG00000254171.1,RP11-67M9.1,1
ENSG00000253725.1,RP11-21I4.2,1
ENSG00000250674.1,RP11-798K23.1,1
ENSG00000249287.1,CTD-2593A12.3,1
ENSG00000170590.9,LINC00266-3,1
ENSG00000237716.1,RP3-400B16.3,1
ENSG00000219375.1,RP11-69L16.3,1
ENSG00000225102.1,RP11-456H18.1,1
ENSG00000235743.1,RP11-439H9.1,1
ENSG00000218512.2,SPTLC1P2,1
ENSG00000229313.1,RP3-425P12.5,1
ENSG00000219770.1,VN1R11P,1
ENSG00000168131.4,OR2B2,1
ENSG00000224586.6,GPX5,1
ENSG00000223677.1,OR2AD1P,1
ENSG00000204702.4,OR2J1,1
ENSG00000227206.1,XXbac-BCX196D17.5,1
ENSG00000203492.3,OR2N1P,1
ENSG00000224233.1,OR2J4P,1
ENSG00000242524.1,OR2U2P,1
ENSG00000204695.3,OR14J1,1
ENSG00000243729.3,OR5V1,1
ENSG00000112462.8,OR12D3,1
ENSG00000204694.10,OR11A1,1
ENSG00000223457.1,HTATSF1P1,1
ENSG00000242014.3,RN7SL26P,1
ENSG00000238554.1,RNU1-88P,1
ENSG00000243313.2,RN7SL285P,1
ENSG00000280371.1,RP1-149M18.4,1
ENSG00000261080.1,RP1-166H4.2,1
ENSG00000270306.1,RP3-437C15.2,1
ENSG00000270382.1,RP1-152L7.9,1
ENSG00000219863.5,RPL31P28,1
ENSG00000228231.2,RP11-124I4.2,1
ENSG00000218520.5,RP11-184C23.4,1
ENSG00000220483.4,SLC25A51P1,1
ENSG00000270509.1,RP11-301G19.2,1
ENSG00000253809.1,RP1-149L1.1,1
ENSG00000230597.1,RP3-331H24.4,1
ENSG00000181514.6,RP3-474G15.1,1
ENSG00000221332.2,U3,1
ENSG00000236635.2,RP11-35J1.1,1
ENSG00000217377.1,AK4P5,1
ENSG00000232031.1,RP5-991C6.4,1
ENSG00000218698.1,ST13P16,1
ENSG00000220960.1,RP1-72A23.1,1
ENSG00000220418.1,TUBB3P1,1
ENSG00000219867.1,RP11-40G16.1,1
ENSG00000229600.1,RP11-524K14.1,1
ENSG00000229315.6,MCHR2-AS1,1
ENSG00000279498.1,RP11-72I2.2,1
ENSG00000241162.3,RN7SL617P,1
ENSG00000231046.1,RP11-428F8.2,1
ENSG00000216904.2,SOCS5P5,1
ENSG00000229722.1,RP11-557H15.5,1
ENSG00000230205.1,RP11-631F7.2,1
ENSG00000235972.1,RP11-472G23.10,1
ENSG00000217044.1,MTCO3P31,1
ENSG00000243775.2,OSTCP1,1
ENSG00000213076.3,yR211F11.2,1
ENSG00000234519.1,RP3-495K2.1,1
ENSG00000234977.1,AC074389.7,1
